,Номенклатура,КлассТовара
177,"Кулер DEEPCOOL HTPC-11 (Al, 2600 об/мин, 28 дБ, 3-pin) Socket LGA 1150/1155",Наиболее продаваемый
178,"Память USB Flash Silicon Power Touch 835 [2.0, 8 Gb, металл, синий]",Наиболее продаваемый
179,"Память USB Flash Silicon Power Ultima II I-Series [2.0, 16 Gb, металл, черный]",Наиболее продаваемый
180,"Адаптер беспроводной TP-LINK TL-WN781ND PCI-E 802.11g/b/n, до 150Mbit/s",Наиболее продаваемый
181,Мышь проводная A4Tech Q3-400-1 Optical Black USB,Наиболее продаваемый
182,"Вентилятор DEEPCOOL 120x120 [UF 120] (PWM, 500-1500 об/мин, 17.8-30 дб)",Наиболее продаваемый
183,Мышь проводная A4Tech XL-755BK Laser 3600dpi USB,Наиболее продаваемый
184,"Аккумулятор CRAFTMANN для Nokia 6300, Li-ion 1200 mAh (BL-4C)",Наиболее продаваемый
185,Цифровая камера Canon PowerShot SX220 HS Gray (12.1 MPix 4000x3000 14xZoom SD/SDHC NB-5L LCD3.0 USB2.0),Наиболее продаваемый
186,"10"" Сумка для планшета/ноутбука DNS/AirTone AT-W410 Red, нейлон, красный",Наиболее продаваемый
187,"10.1"" [Mini] Ноутбук DNS (0140413) (WSVGA) Intel Atom N570(1.66)/2048/500/WiFi/BT/Cam/6400mAh",Наиболее продаваемый
188,Office [0141862] Celeron G440 (1.60GHz)/1Gb/250GB/Без ПО,Наиболее продаваемый
189,"Коммутатор D-Link DGS-1008D 8x10/100/1000Base-T, Unmanaged",Наиболее продаваемый
190,"Внешний HDD WD 750GB Elements SE [WDBABV7500ABK] 2.5"" USB 2.0",Наиболее продаваемый
191,Контроллер 2x COM Port (2х 9pin M) + 1x LPT Port (25pin F) PCI,Наиболее продаваемый
192,Мышь проводная A4Tech N-370FX-1 V-Track Black USB,Наиболее продаваемый
193,Office [0141861] Celeron G440 (1.60GHz)/2Gb/250GB/DVD±RW/Без ПО,Наиболее продаваемый
194,"Футляр InterStep Pocket р47 универсальный, и/кожа, черный (11.1x5.5x1.5)",Наиболее продаваемый
195,"Автомобильный видеорегистратор ONEXT VR-100 (HD/120°/экран 2.5 ""/SD)",Наиболее продаваемый
196,"Охлаждение для ноутбука DEEPCOOL N600 (Металл+пластик, 200mm вентилятор, 700 rpm, 23dBA, до 17'') Black",Наиболее продаваемый
197,"15.6"" Ноутбук Acer Aspire 5250-E452G32Mikk (HD) AMD E450(1.65)/2048/320/AMD HD6320/DVD-SMulti/WiFi/Cam/MS Win7 Starter",Наиболее продаваемый
198,"Привод внеш. DVD±RW Samsung (SE-S084D) DVD-8x/8x/6x, DL-6x, RAM-5x, CD-24x/24x/24x USB 2.0",Наиболее продаваемый
199,Сотовый телефон Nokia 101 Coral Red GSM/2SIM/TFT/128x160/microSD/FM/S30,Наиболее продаваемый
200,Мышь проводная A4Tech X-705K 2000dpi Black USB,Наиболее продаваемый
201,"Привод внеш. DVD±RW LiteOn (eТAU108) Black/White DVD-8x/8x/8x, DL-6x, RAM-5x, CD-24x/24x/24x USB 2.0 Slim",Наиболее продаваемый
202,"Смартфон Nokia 5228 3.2"" 70Mb White Blue 1x0.434Ghz/128Mb/360x640/TFT//Cam2/Symbian9.4",Наиболее продаваемый
203,Мышь проводная A4Tech N-250X-1 V-Track Black USB,Наиболее продаваемый
204,"Коммутатор D-Link DES-1008D 8x10/100Base-TX, Unmanaged",Наиболее продаваемый
205,"Цифровая камера FujiFilm FinePix S4000 (14MPix 4288x3216 30xZoom SD/SDHC LCD3.0"" USB HDMI 4xAA)",Наиболее продаваемый
206,"17.3"" [Home] Ноутбук DNS (0138409) (FHD) i3-2330M(2.2)/4096/500/NV GT540M 1Gb/DVD-Smulti/WiFi/BT/Cam/No OS",Наиболее продаваемый
207,Диск DVD-R 4.7Gb Cake Box 25 шт. (Verbatim) 16x,Наиболее продаваемый
208,"Кулер DEEPCOOL Theta 10 (Al+Cu, 2500 rpm, 32 dB(A)) Socket LGA1150/1155/1156",Наиболее продаваемый
209,Мышь беспроводная DNS HOME WRL-014BT Black USB,Наиболее продаваемый
210,"Плеер DVD/MP3/MP4(DivX) BBK DVP 158SI [Dolby Digital, USB(A), караоке, один мик. вход, запись песен на USB-флэш]",Наиболее продаваемый
211,Клавиатура проводная Defender Accent 930 Black PS/2,Наиболее продаваемый
212,Микрофон Philips SB-CMD110 для караоке,Наиболее продаваемый
213,Память USB 2.0 Flash Transcend 4 Gb JetFlash v70 водонепроницаемый корпус,Наиболее продаваемый
214,"Наушники A4tech MK-620 [вклад, закр, 20 - 20000 Гц, каб 1.4м, штекер 3,5мм]",Наиболее продаваемый
215,"ADSL2+ модем TP-LINK TD-8616/TD-8610 (Annex A, 1x10/100Base-TX, 1xRJ11, сплиттер в комплекте)",Наиболее продаваемый
216,"Кошелек Esse Delta Бабочки р93 универсальный, нубук, черный (12х6.5х0.8)",Наиболее продаваемый
217,"Аккумулятор GP 2700 Series [AA, 2600 mAh, ni-mh, 4шт]",Наиболее продаваемый
218,"15.6"" Ноутбук Samsung NP300E5A-S06RU (HD) i3 2330M(2.2)/4096/320/NV GT520M 512/DVD-SMulti/WiFi/Cam/MS Win7",Наиболее продаваемый
219,"11.1"" Сумка Tucano Ultra (BNU11) нейлон, черный",Наиболее продаваемый
220,Память USB 2.0 Flash AData 4 Gb S101,Наиболее продаваемый
221,Диск DVD+R 4.7Gb Cake Box 50 шт. (Verbatim) 16x,Наиболее продаваемый
222,Смартфон Samsung GT-S5360 Galaxy Y Metallic 832MHz/512Mb+160Mb/TFT/240x320/microSD/GSM/3G/GPRS/WiFi/BT/Cam2/Android ,Наиболее продаваемый
223,"10.1"" Ноутбук Samsung NP-NC110-A0CRU (WSVGA) Intel Atom N570(1.66)/2048/320/WiFi/BT/Cam/MS Win7 Starter/Black",Наиболее продаваемый
